"Bus Table (SPI (with CS): 8 Bit, MSB, Clk = D0, MOSI = D1, MISO = D2, CS = D3)"
"gg"
Frame,Mark,Start Time in s,Source,Length,Data,State
465,,50.34902160e-3,MISO,2,0xFFFF,OK
466,,50.36852240e-3,MOSI,2,0x1480,OK
467,,50.36852240e-3,MISO,2,0x0F80,OK
468,,50.38802320e-3,MOSI,2,0x1A07,OK
469,,50.38802320e-3,MISO,2,0x07FF,OK
470,,50.40752400e-3,MOSI,2,0x1226,OK
471,,50.40752400e-3,MISO,2,0xFFFE,OK
472,,50.42701840e-3,MOSI,2,0x020C,OK
473,,50.42701840e-3,MISO,2,0x01FF,OK
474,,50.44651920e-3,MOSI,2,0x9A00,OK
475,,50.44651920e-3,MISO,2,0xFFFF,OK
476,,50.46602000e-3,MOSI,2,0x1AFF,OK
477,,50.46602000e-3,MISO,2,0xFFFF,OK
478,,50.48552080e-3,MOSI,2,0x8800,OK
479,,50.48552080e-3,MISO,2,0xFFFF,OK
480,,50.50502160e-3,MOSI,2,0x0200,OK
481,,50.50502160e-3,MISO,2,0xFE00,OK
482,,50.52452240e-3,MOSI,2,0x9400,OK
483,,50.52452240e-3,MISO,2,0x7FFF,OK
484,,50.54402320e-3,MOSI,2,0x9200,OK
485,,50.54402320e-3,MISO,2,0xF1FF,OK
